Day,Cash On Hand
11,350625
12,525832
13,46647
14,378682
15,278381
16,115842
17,235023
18,457409
19,484462
20,451252
21,423050
22,417842
23,109682
24,119903
25,291875
26,542954
27,178696
28,561709
29,458991
30,597323
31,317255
32,212524
33,622532
34,348181
35,337134
36,212072
37,557906
38,622159
39,305159
40,2240509
41,2792118
42,2815839
43,2470889
44,1443582
45,1714519
46,2029464
47,1564119
48,1552593
49,1732819
50,1402323
51,1451585
52,2106651
53,3630712
54,4008654
55,3819686
56,3825142
57,3876399
58,3459332
59,4169532
60,4330105
61,4058415
62,3902269
63,3943040
64,2940123
65,3440691
66,4823569
67,4866110
68,3985044
69,4026302
70,4667861
71,5131707
72,5293243
73,5084430
74,4616218
75,4932880
76,4981674
77,6030547
78,6142565
79,6171745
80,6182610
81,7038699
82,5977083
83,6004549
84,6398332
85,6709598
86,6791602
87,6553052
88,6854791
89,8503319
90,8524494
